numNodes,maxDelayTime,createEdgeThreshold,edgeWeightMax,correctness,standardDeviation
3,7,3,5,1,1.468301
3,7,3,10,2,1.840786
3,7,3,15,3,2.144808
3,7,3,20,4,2.462893
3,7,5,5,3,2.030813
3,7,5,10,5,2.562043
3,7,5,15,6,3.24869
3,7,5,20,8,3.758629
3,7,7,5,5,2.450372
3,7,7,10,8,3.240821
3,7,7,15,11,4.209698
3,7,7,20,15,4.831368
3,7,9,5,7,3.049349
3,7,9,10,12,4.226045
3,7,9,15,18,5.366629
3,7,9,20,23,5.496234
4,7,1,5,0,0.690386
4,7,1,10,0,0.887858
4,7,1,15,0,1.002122
4,7,1,20,0,1.090396
4,7,3,5,1,1.583215
4,7,3,10,2,1.870351
4,7,3,15,3,2.330947
4,7,3,20,4,2.531123
4,7,5,5,3,2.085043
4,7,5,10,5,2.730266
4,7,5,15,6,3.340065
4,7,5,20,9,4.165158
4,7,7,5,5,2.673632
4,7,7,10,8,3.540308
4,7,7,15,12,5.062879
4,7,7,20,19,6.746112
4,7,9,5,7,3.151559
4,7,9,10,12,4.676112
4,7,9,15,21,7.31717
4,7,9,20,32,7.96121
5,7,1,5,0,0.775769
5,7,1,10,0,0.83637
5,7,1,15,0,0.96726
5,7,1,20,0,1.147674
5,7,3,5,2,1.560588
5,7,3,10,2,1.906675
5,7,3,15,3,2.216825
5,7,3,20,4,2.59724
5,7,5,5,3,2.236236
5,7,5,10,5,2.621955
5,7,5,15,7,3.425522
5,7,5,20,9,4.424393
5,7,7,5,5,2.616594
5,7,7,10,8,3.571815
5,7,7,15,12,4.858354
5,7,7,20,20,8.000999
5,7,9,5,7,3.188342
5,7,9,10,12,4.629901
5,7,9,15,23,7.996398
5,7,9,20,39,9.972471
6,7,1,5,0,0.693603
6,7,1,10,0,0.886431
6,7,1,15,0,1.009464
6,7,1,20,0,1.144398
6,7,3,5,1,1.486306
6,7,3,10,2,1.8479
6,7,3,15,3,2.223424
6,7,3,20,4,2.5363
6,7,5,5,3,2.120505
6,7,5,10,5,2.603453
6,7,5,15,7,3.319256
6,7,5,20,9,4.488784
6,7,7,5,5,2.59241
6,7,7,10,8,3.665597
6,7,7,15,12,5.084317
6,7,7,20,22,9.441461
6,7,9,5,7,3.042152
6,7,9,10,13,5.002292
6,7,9,15,23,9.087833
6,7,9,20,44,10.345169
7,7,1,5,0,0.79387
7,7,1,10,0,0.895921
7,7,1,15,0,0.973317
7,7,1,20,0,1.149309
7,7,3,5,1,1.559554
7,7,3,10,2,1.893459
7,7,3,15,3,2.275252
7,7,3,20,4,2.57259
7,7,5,5,3,2.023228
7,7,5,10,5,2.785617
7,7,5,15,7,3.363226
7,7,5,20,10,4.538369
7,7,7,5,5,2.654745
7,7,7,10,8,3.6792
7,7,7,15,12,4.923892
7,7,7,20,22,10.929602
7,7,9,5,7,2.970178
7,7,9,10,13,4.610111
7,7,9,15,23,10.018496
7,7,9,20,49,10.824298
8,7,1,5,0,0.757858
8,7,1,10,0,0.914111
8,7,1,15,0,0.968199
8,7,1,20,0,1.120139
8,7,3,5,1,1.521718
8,7,3,10,2,1.900158
8,7,3,15,3,2.307118
8,7,3,20,4,2.58905
8,7,5,5,3,2.190285
8,7,5,10,5,2.760829
8,7,5,15,7,3.370053
8,7,5,20,9,4.476231
8,7,7,5,5,2.634396
8,7,7,10,8,3.609206
8,7,7,15,12,5.386163
8,7,7,20,24,12.612157
8,7,9,5,8,3.231467
8,7,9,10,12,4.482737
8,7,9,15,24,9.984211
8,7,9,20,52,11.674726
3,8,1,5,0,0.98138
3,8,1,10,0,1.227235
3,8,1,15,1,1.298703
3,8,1,20,1,1.334831
3,8,3,5,2,2.024008
3,8,3,10,4,2.414264
3,8,3,15,4,2.650883
3,8,3,20,5,3.003464
3,8,5,5,5,2.762019
3,8,5,10,8,3.349967
3,8,5,15,10,3.961413
3,8,5,20,12,4.348794
3,8,7,5,8,3.48251
3,8,7,10,13,4.17582
3,8,7,15,16,4.853445
3,8,7,20,19,5.169455
3,8,9,5,12,3.920378
3,8,9,10,18,5.05437
3,8,9,15,23,5.443932
3,8,9,20,28,5.337699
4,8,1,5,0,0.954684
4,8,1,10,0,1.182989
4,8,1,15,1,1.346446
4,8,1,20,1,1.42335
4,8,3,5,3,2.067749
4,8,3,10,4,2.478391
4,8,3,15,5,2.940564
4,8,3,20,6,3.295118
4,8,5,5,6,2.938393
